feature__id,eventtype,alertlevel,country,eventname,glide,ring_index,vertex_index,x,y
,FL,Orange,Nepal,,FL-2025-000184-NPL,0,0,87.924784,26.9399704
,EQ,Green,South Of Fiji Islands,,,0,0,175.5584,-21.1408
,TC,Green,,SHAKHTI-25,,0,0,60.2,19.7
,EQ,Green,Italy,,,0,0,13.3497,43.9869
,EQ,Green,Off W Coast Of Northern Sumatera,,,0,0,92.8019,0.8991
,EQ,Green,Russia,,,0,0,160.7879,53.2334
,EQ,Green,Indonesia,,,0,0,126.2338,0.9262
,EQ,Green,South Of Kermadec Islands,,,0,0,-175.0337,-32.3341
,EQ,Green,Northern Mid-Atlantic Ridge,,,0,0,-44.6288,13.3105
,EQ,Green,Mariana Islands Region,,,0,0,147.1894,14.8923
,FL,Green,Bhutan,,,0,0,89.2357556,27.3596658
,FL,Green,Malaysia,,,0,0,103.435242762347,1.62209419622322
,FL,Green,Norway,,,0,0,10.1531702,59.5591252
,WF,Green,Australia,,,0,0,126.67606682738277,-14.974962844935886
,WF,Green,Brazil,,,0,0,-51.043922565731705,-16.06732509769797
,WF,Green,Australia,,,0,0,130.4376864651875,-18.900737637433988
,WF,Green,Australia,,,0,0,126.21806854841111,-21.010714242110364
,WF,Green,Australia,,,0,0,145.14696698265743,-15.76318955092503
,WF,Green,Australia,,,0,0,127.36641390967213,-18.76044455737953
,WF,Green,Brazil,,,0,0,-53.351427875806614,-18.21345326186857
,WF,Green,Botswana,,,0,0,21.599898887525157,-24.07958165066348
,WF,Green,Australia,,,0,0,127.29338221689791,-16.837449761542043
,WF,Green,Australia,,,0,0,147.72522911168775,-25.562832856640238
,WF,Green,Australia,,,0,0,131.75785639814038,-14.886321382319267
,WF,Green,Brazil,,,0,0,-57.59800962069625,-17.915292869670523
,WF,Green,Brazil,,,0,0,-42.81127937178943,-6.682055343800126
,WF,Green,Australia,,,0,0,127.74428549115572,-17.33401716400861
,WF,Green,Australia,,,0,0,127.5086160312843,-17.231706486024372
,WF,Green,Australia,,,0,0,131.5865292778062,-23.1620995264436
,WF,Green,Australia,,,0,0,130.1950895433396,-15.705339700638497
,WF,Green,Australia,,,0,0,129.51035161723144,-18.582671237597328
,WF,Green,Australia,,,0,0,129.67184829853272,-18.090644012738863
,WF,Green,Australia,,,0,0,129.2431399157354,-17.682609938513767
,WF,Green,Australia,,,0,0,129.26696867214588,-18.63170988723906
,WF,Green,Australia,,,0,0,129.3348633948208,-18.939033093463827
,WF,Green,Australia,,,0,0,125.7699170262246,-22.197931964433817
,WF,Green,Australia,,,0,0,142.64451605924967,-12.793298905517803
,WF,Green,Australia,,,0,0,131.61614183167882,-16.02885778592639
,WF,Green,Australia,,,0,0,125.90658251248142,-15.100138948040021
,WF,Green,Brazil,,,0,0,-56.80898178061328,-15.245507721085108
,WF,Green,Australia,,,0,0,133.47669954532876,-18.888924350359574
,WF,Green,Brazil,,,0,0,-46.87763217704014,-14.949812242780558
,WF,Green,Australia,,,0,0,131.59555667808252,-17.902487753142122
,WF,Green,Australia,,,0,0,127.56654945846738,-16.734466910710957
,WF,Green,Australia,,,0,0,126.6839261750132,-15.07210964699832
,WF,Green,Brazil,,,0,0,-48.227386107321784,-14.653998444902761
,WF,Green,Australia,,,0,0,147.91993050929804,-25.63844568552572
,WF,Green,Brazil,,,0,0,-50.90125618863613,-16.02313870098765
,WF,Green,Brazil,,,0,0,-47.826815555757086,-13.32472306535991
,WF,Green,Brazil,,,0,0,-47.86919055324094,-13.15119455070854
,WF,Green,Australia,,,0,0,127.72247979604553,-16.912648901544678
,EQ,Green,Indonesia,,,0,0,127.0115,2.1979
,EQ,Green,Kyrgyzstan,,,0,0,71.2576,42.1574
,EQ,Green,South Of Fiji Islands,,,0,0,179.0068,-23.4216
,EQ,Green,Papua New Guinea,,,0,0,151.3282,-3.8968
,EQ,Green,Viet Nam,,,0,0,108.0503,14.8343
,TC,Red,"China, Viet Nam, Philippines",MATMO-25,TC-2025-000183-VNM,0,0,108.5,21.9
,EQ,Green,Philippines,,,0,0,125.0136,4.5998
,EQ,Green,Russia,,,0,0,159.5384,51.5577
,EQ,Green,Russia,,,0,0,159.4934,51.3924
,EQ,Green,Russia,,,0,0,159.4822,51.3661
,EQ,Green,"Kermadec Islands, New Zealand",,,0,0,-178.0315,-30.5664
,EQ,Green,Svalbard and Jan Mayen,,,0,0,-7.8291,71.1222
,EQ,Green,Afghanistan,,,0,0,66.2694,30.3314
,EQ,Green,Russian Federation,,,0,0,159.7786,53.3029
,EQ,Green,Svalbard and Jan Mayen,,,0,0,-7.9274,71.2917
,EQ,Green,Canada,,,0,0,-140.546,61.3661
,EQ,Green,Indonesia,,,0,0,125.2194,-0.3506
,EQ,Green,"Talaud Islands, Indonesia",,,0,0,127.9895,3.6309
,EQ,Green,Svalbard and Jan Mayen,,,0,0,-7.9169,71.1768
,EQ,Green,Russian Federation,,,0,0,159.8431,53.2429
,EQ,Green,Papua New Guinea,,,0,0,148.8665,-8.4157
,EQ,Green,Russia,,,0,0,159.5092,51.7977
,EQ,Green,Philippines,,,0,0,119.6653,18.6235
,EQ,Green,Russia,,,0,0,156.1894,48.8667
,WF,Green,Australia,,,0,0,129.47747145300605,-18.535156934453155
,WF,Green,Brazil,,,0,0,-47.597751054991946,-13.30997447637483
,WF,Green,Australia,,,0,0,127.72413513897801,-15.859563487149131
,WF,Green,Brazil,,,0,0,-46.30449825925983,-8.574831310257418
,WF,Green,Brazil,,,0,0,-50.93795930029581,-13.197983852931653
,WF,Green,Brazil,,,0,0,-48.06376598386309,-13.773895878413944
,WF,Green,Brazil,,,0,0,-47.19702532617837,-11.168603803832942
,WF,Green,Brazil,,,0,0,-47.80689900541366,-12.227813973501359
,WF,Green,Brazil,,,0,0,-50.355668386774745,-10.349090404071083
,WF,Green,Australia,,,0,0,127.98113573251014,-17.549954541698067
,WF,Green,Brazil,,,0,0,-44.625601258457806,-6.156636538704282
,WF,Green,Australia,,,0,0,129.7245112368771,-14.134340890109396
,WF,Green,Australia,,,0,0,143.64404546732615,-15.090852098955924
,WF,Green,Australia,,,0,0,131.48537767131455,-18.127572553757695
,WF,Green,Botswana,,,0,0,22.898947758610127,-20.92314992119704
,WF,Green,Brazil,,,0,0,-49.290554316821904,-15.264491513359888
,WF,Green,Australia,,,0,0,147.76773689863373,-25.414826572165424
,WF,Green,Brazil,,,0,0,-43.68027209624797,-9.939586709497375
,WF,Green,Australia,,,0,0,126.01010714742024,-15.004009864935089
,WF,Green,Australia,,,0,0,150.4718245776752,-23.679922984079347
,WF,Green,Brazil,,,0,0,-46.23006603101603,-15.889910308312503
,WF,Green,Australia,,,0,0,136.4351520356768,-16.179861545072225
,WF,Green,Australia,,,0,0,144.41323051361502,-16.018605667529872
,WF,Green,Brazil,,,0,0,-47.28317229912317,-13.543250754841434
,WF,Green,Brazil,,,0,0,-45.721677578689686,-9.31567579191926
,WF,Green,Brazil,,,0,0,-45.236569573697956,-14.710498510603163
,WF,Green,Brazil,,,0,0,-46.93481343158122,-12.832298101354317
,WF,Green,Australia,,,0,0,147.62906723793165,-26.206697023171365
,WF,Green,Brazil,,,0,0,-48.06034557312057,-13.631730070206402
,WF,Green,Australia,,,0,0,123.39300889013441,-18.85828538342337
,WF,Green,Brazil,,,0,0,-47.940837956353455,-13.789657942154607
,WF,Green,Australia,,,0,0,144.6528740383369,-16.28733073863675
,WF,Green,Brazil,,,0,0,-46.25900306763303,-7.740801944359693
,WF,Green,Brazil,,,0,0,-46.123855415442314,-14.414039317757455
,WF,Green,Australia,,,0,0,151.80714046895847,-25.105687442525454
,WF,Green,Brazil,,,0,0,-48.314545698942055,-14.890932171888483
,WF,Green,Brazil,,,0,0,-48.13765383266113,-13.960581370789505
,WF,Green,Brazil,,,0,0,-44.987735114560024,-14.023488493483637
